split,seed,strategy,lang,S,D,I,N,records,WER,label
TEST,101,Text+Global,tr,1273,153,125,12963,743,11.964822957648693,EXACT_REUSE
TEST,101,ConfDupClean,tr,1414,157,133,12963,743,13.145105299699143,POST_REVIEW_DIAGNOSTIC
TEST,101,ConfPerm,tr,1401,160,129,12963,743,13.037105608269691,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Conf,tr,1409,163,125,12963,743,13.091105453984417,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Global,tr,1406,163,127,12963,743,13.083391190310884,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text,tr,1277,155,121,12963,743,11.980251484995756,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text+Global,tr,1276,157,123,12963,743,12.003394276016355,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Conf,tr,1410,131,146,12963,743,13.013962817249094,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Global,tr,1378,134,151,12963,743,12.828820489084316,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text,tr,1242,122,135,12963,743,11.56368124662501,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text+Global,tr,1236,122,134,12963,743,11.509681400910283,POST_REVIEW_DIAGNOSTIC
TEST,101,Conf,it,1106,285,128,20701,865,7.337809767644075,EXACT_REUSE
TEST,101,Global,it,1090,291,124,20701,865,7.2701801845321485,EXACT_REUSE
TEST,101,Text,it,973,283,120,20701,865,6.647021883000821,EXACT_REUSE
TEST,101,Text+Global,it,976,284,123,20701,865,6.680836674556785,EXACT_REUSE
